title,job_title,pros,cons,recommendation,salary,date,location,career_opportunity_rating,work_life_balance_rating,work_env_rating,management_rating,benefits_rating,diversity_rating,overall_rating
"‘It was a good company to work for, but the work life made life miserable.’",Health Support Consultant,The benefits and discounts were amazing and the support network was pretty good too. The pay was alright.,The work/ life balance was horrendous and there was no wiggle room with shifts. The parking in the area was terribly expensive too.,Recommends working here: Yes,Rates salary as: Average,4 years ago,"Melbourne, Victoria, Australia",4.0,1.0,3.0,2.0,4.0,2.0,3.0
‘Happy friendly fulfilling anc challenging work environment.’,RN,"Friendly, stable,great team i am working with. opportunity for advancement and to step up in other roles. great training and education","Management lack of communication
maintaining staff due to low pay
sometimes lack of transparency",Recommends working here: Yes,Rates salary as: Low,3 years ago,Vic,5.0,4.0,5.0,4.0,5.0,4.0,5.0
‘Love working at Bupa.’,Maintenance Officer,"Love working at Bupa!
Love being apatlrt of such a fantastic company who devote so much towards the care of our wonderful residents.",There are certainly days which are challenging but the experience of being able to care for our residents on a daily basis is exactly why we do it day in day out.,Recommends working here: Yes,Rates salary as: Average,3 years ago,"New South Wales, Australia",5.0,5.0,5.0,5.0,5.0,5.0,5.0
‘One of the best cultures I’ve encountered in a company - I miss my Bupa family.’,Learning And Development Consultant,"Amazing culture. I was fortunate to have had some really brilliant managers and colleagues. It can be hard work but the perks and team fun are worth it. Bupa really cared for it’s people as well as it’s customers as well - skin checks, massages, Christmas hampers, heavily discounted insurance - all amazing.",There is a very long tenure here so opportunities for career progression were limited in the city I was based in.,Recommends working here: Yes,Rates salary as: Average,2 years ago,"Adelaide, South Australia, Australia",4.0,4.0,5.0,4.0,5.0,5.0,5.0
‘Bupa truely promotes a work life balance.’,Manager,"True to company values, promotes and encourages healthy and happy lives, and gives you opportunity to grow with the business.",My department needs an overhaul for procedures but has allowed and encouraged me to do this which is fantastic.,Recommends working here: Yes,Rates salary as: Average,2 years ago,"Melbourne, Victoria, Australia",5.0,5.0,5.0,5.0,5.0,5.0,5.0
‘Great working environment to grow as an employee and work amongst decent hard working people.’,Marketing Manager,Always looking to develop you and build responsibilities. Salary reflects the work you do in the practice,"Previously a private dental practice, the challenge has been the change over to bupa and learning the way things work",Recommends working here: Yes,Rates salary as: High,4 years ago,"Five Dock, New South Wales, Australia",5.0,4.0,5.0,5.0,4.0,5.0,5.0
‘Caring company with good perks.’,Sales And Growth Consultant,Very good perks and senior management that very caring of staff.  Great opportunities for career development if you are happy to work in head office,Pay isn't great and sales targets are high.,Recommends working here: Yes,Rates salary as: Average,2 years ago,"VIC, Australia",3.0,5.0,3.0,5.0,5.0,5.0,4.0
‘Poor work life with Bupa..’,Customer Service,Generally office hours worked...,"No staff to service customers, high KPI's basically you will be a sales person pushing  expensive products that people don't need... Very poor bonus scheme.",Recommends working here: No,Rates salary as: Average,3 years ago,,2.0,1.0,1.0,1.0,2.0,1.0,1.0
"‘Fun, interesting, rewarding.’",Financial Management Consultant - IT,"Dynamic environment, good people, nice benefits, positive philosophy.","It was changing very quickly, which is one of the things I liked about it, but theoretically challenging. There was a huge amount of complex work in the pipeline, moist - if not all - would now be completed.",Recommends working here: Yes,Rates salary as: Average,4 years ago,"Melbourne, Victoria, Australia",3.0,4.0,4.0,4.0,4.0,5.0,4.0
‘I would thoroughly recommend the company as a whole to work for. Amazing opportunities and training was outstanding.’,Sales And Service Consultant,The work/  life balance. Always felt like an individual and not just a number. Really enjoyed my time with the company. Great incentives and KPI targets were very fair.,A somewhat negative manager at the end of my time with the company was my biggest challenge. Did not feel supported by the individual store management team at the time of leaving the company.,Recommends working here: Yes,Rates salary as: Average,4 years ago,"Charlestown, New South Wales, Australia",4.0,5.0,4.0,3.0,5.0,4.0,5.0
"‘It was a good company to work for, but the work life made life miserable.’",Health Support Consultant,The benefits and discounts were amazing and the support network was pretty good too. The pay was alright.,The work/ life balance was horrendous and there was no wiggle room with shifts. The parking in the area was terribly expensive too.,Recommends working here: Yes,Rates salary as: Average,4 years ago,"Melbourne, Victoria, Australia",4.0,1.0,3.0,2.0,4.0,2.0,3.0
‘Happy friendly fulfilling anc challenging work environment.’,RN,"Friendly, stable,great team i am working with. opportunity for advancement and to step up in other roles. great training and education","Management lack of communication
maintaining staff due to low pay
sometimes lack of transparency",Recommends working here: Yes,Rates salary as: Low,3 years ago,Vic,5.0,4.0,5.0,4.0,5.0,4.0,5.0
‘Love working at Bupa.’,Maintenance Officer,"Love working at Bupa!
Love being apatlrt of such a fantastic company who devote so much towards the care of our wonderful residents.",There are certainly days which are challenging but the experience of being able to care for our residents on a daily basis is exactly why we do it day in day out.,Recommends working here: Yes,Rates salary as: Average,3 years ago,"New South Wales, Australia",5.0,5.0,5.0,5.0,5.0,5.0,5.0
‘One of the best cultures I’ve encountered in a company - I miss my Bupa family.’,Learning And Development Consultant,"Amazing culture. I was fortunate to have had some really brilliant managers and colleagues. It can be hard work but the perks and team fun are worth it. Bupa really cared for it’s people as well as it’s customers as well - skin checks, massages, Christmas hampers, heavily discounted insurance - all amazing.",There is a very long tenure here so opportunities for career progression were limited in the city I was based in.,Recommends working here: Yes,Rates salary as: Average,2 years ago,"Adelaide, South Australia, Australia",4.0,4.0,5.0,4.0,5.0,5.0,5.0
‘Bupa truely promotes a work life balance.’,Manager,"True to company values, promotes and encourages healthy and happy lives, and gives you opportunity to grow with the business.",My department needs an overhaul for procedures but has allowed and encouraged me to do this which is fantastic.,Recommends working here: Yes,Rates salary as: Average,2 years ago,"Melbourne, Victoria, Australia",5.0,5.0,5.0,5.0,5.0,5.0,5.0
‘Great working environment to grow as an employee and work amongst decent hard working people.’,Marketing Manager,Always looking to develop you and build responsibilities. Salary reflects the work you do in the practice,"Previously a private dental practice, the challenge has been the change over to bupa and learning the way things work",Recommends working here: Yes,Rates salary as: High,4 years ago,"Five Dock, New South Wales, Australia",5.0,4.0,5.0,5.0,4.0,5.0,5.0
‘Caring company with good perks.’,Sales And Growth Consultant,Very good perks and senior management that very caring of staff.  Great opportunities for career development if you are happy to work in head office,Pay isn't great and sales targets are high.,Recommends working here: Yes,Rates salary as: Average,2 years ago,"VIC, Australia",3.0,5.0,3.0,5.0,5.0,5.0,4.0
‘Poor work life with Bupa..’,Customer Service,Generally office hours worked...,"No staff to service customers, high KPI's basically you will be a sales person pushing  expensive products that people don't need... Very poor bonus scheme.",Recommends working here: No,Rates salary as: Average,3 years ago,,2.0,1.0,1.0,1.0,2.0,1.0,1.0
"‘Fun, interesting, rewarding.’",Financial Management Consultant - IT,"Dynamic environment, good people, nice benefits, positive philosophy.","It was changing very quickly, which is one of the things I liked about it, but theoretically challenging. There was a huge amount of complex work in the pipeline, moist - if not all - would now be completed.",Recommends working here: Yes,Rates salary as: Average,4 years ago,"Melbourne, Victoria, Australia",3.0,4.0,4.0,4.0,4.0,5.0,4.0
‘I would thoroughly recommend the company as a whole to work for. Amazing opportunities and training was outstanding.’,Sales And Service Consultant,The work/  life balance. Always felt like an individual and not just a number. Really enjoyed my time with the company. Great incentives and KPI targets were very fair.,A somewhat negative manager at the end of my time with the company was my biggest challenge. Did not feel supported by the individual store management team at the time of leaving the company.,Recommends working here: Yes,Rates salary as: Average,4 years ago,"Charlestown, New South Wales, Australia",4.0,5.0,4.0,3.0,5.0,4.0,5.0
"‘It was a good company to work for, but the work life made life miserable.’",Health Support Consultant,The benefits and discounts were amazing and the support network was pretty good too. The pay was alright.,The work/ life balance was horrendous and there was no wiggle room with shifts. The parking in the area was terribly expensive too.,Recommends working here: Yes,Rates salary as: Average,4 years ago,"Melbourne, Victoria, Australia",4.0,1.0,3.0,2.0,4.0,2.0,3.0
‘Happy friendly fulfilling anc challenging work environment.’,RN,"Friendly, stable,great team i am working with. opportunity for advancement and to step up in other roles. great training and education","Management lack of communication
maintaining staff due to low pay
sometimes lack of transparency",Recommends working here: Yes,Rates salary as: Low,3 years ago,Vic,5.0,4.0,5.0,4.0,5.0,4.0,5.0
‘Love working at Bupa.’,Maintenance Officer,"Love working at Bupa!
Love being apatlrt of such a fantastic company who devote so much towards the care of our wonderful residents.",There are certainly days which are challenging but the experience of being able to care for our residents on a daily basis is exactly why we do it day in day out.,Recommends working here: Yes,Rates salary as: Average,3 years ago,"New South Wales, Australia",5.0,5.0,5.0,5.0,5.0,5.0,5.0
‘One of the best cultures I’ve encountered in a company - I miss my Bupa family.’,Learning And Development Consultant,"Amazing culture. I was fortunate to have had some really brilliant managers and colleagues. It can be hard work but the perks and team fun are worth it. Bupa really cared for it’s people as well as it’s customers as well - skin checks, massages, Christmas hampers, heavily discounted insurance - all amazing.",There is a very long tenure here so opportunities for career progression were limited in the city I was based in.,Recommends working here: Yes,Rates salary as: Average,2 years ago,"Adelaide, South Australia, Australia",4.0,4.0,5.0,4.0,5.0,5.0,5.0
‘Bupa truely promotes a work life balance.’,Manager,"True to company values, promotes and encourages healthy and happy lives, and gives you opportunity to grow with the business.",My department needs an overhaul for procedures but has allowed and encouraged me to do this which is fantastic.,Recommends working here: Yes,Rates salary as: Average,2 years ago,"Melbourne, Victoria, Australia",5.0,5.0,5.0,5.0,5.0,5.0,5.0
‘Great working environment to grow as an employee and work amongst decent hard working people.’,Marketing Manager,Always looking to develop you and build responsibilities. Salary reflects the work you do in the practice,"Previously a private dental practice, the challenge has been the change over to bupa and learning the way things work",Recommends working here: Yes,Rates salary as: High,4 years ago,"Five Dock, New South Wales, Australia",5.0,4.0,5.0,5.0,4.0,5.0,5.0
‘Caring company with good perks.’,Sales And Growth Consultant,Very good perks and senior management that very caring of staff.  Great opportunities for career development if you are happy to work in head office,Pay isn't great and sales targets are high.,Recommends working here: Yes,Rates salary as: Average,2 years ago,"VIC, Australia",3.0,5.0,3.0,5.0,5.0,5.0,4.0
‘Poor work life with Bupa..’,Customer Service,Generally office hours worked...,"No staff to service customers, high KPI's basically you will be a sales person pushing  expensive products that people don't need... Very poor bonus scheme.",Recommends working here: No,Rates salary as: Average,3 years ago,,2.0,1.0,1.0,1.0,2.0,1.0,1.0
"‘Fun, interesting, rewarding.’",Financial Management Consultant - IT,"Dynamic environment, good people, nice benefits, positive philosophy.","It was changing very quickly, which is one of the things I liked about it, but theoretically challenging. There was a huge amount of complex work in the pipeline, moist - if not all - would now be completed.",Recommends working here: Yes,Rates salary as: Average,4 years ago,"Melbourne, Victoria, Australia",3.0,4.0,4.0,4.0,4.0,5.0,4.0
‘I would thoroughly recommend the company as a whole to work for. Amazing opportunities and training was outstanding.’,Sales And Service Consultant,The work/  life balance. Always felt like an individual and not just a number. Really enjoyed my time with the company. Great incentives and KPI targets were very fair.,A somewhat negative manager at the end of my time with the company was my biggest challenge. Did not feel supported by the individual store management team at the time of leaving the company.,Recommends working here: Yes,Rates salary as: Average,4 years ago,"Charlestown, New South Wales, Australia",4.0,5.0,4.0,3.0,5.0,4.0,5.0
"‘It was a good company to work for, but the work life made life miserable.’",Health Support Consultant,The benefits and discounts were amazing and the support network was pretty good too. The pay was alright.,The work/ life balance was horrendous and there was no wiggle room with shifts. The parking in the area was terribly expensive too.,Recommends working here: Yes,Rates salary as: Average,4 years ago,"Melbourne, Victoria, Australia",4.0,1.0,3.0,2.0,4.0,2.0,3.0
‘Happy friendly fulfilling anc challenging work environment.’,RN,"Friendly, stable,great team i am working with. opportunity for advancement and to step up in other roles. great training and education","Management lack of communication
maintaining staff due to low pay
sometimes lack of transparency",Recommends working here: Yes,Rates salary as: Low,3 years ago,Vic,5.0,4.0,5.0,4.0,5.0,4.0,5.0
‘Love working at Bupa.’,Maintenance Officer,"Love working at Bupa!
Love being apatlrt of such a fantastic company who devote so much towards the care of our wonderful residents.",There are certainly days which are challenging but the experience of being able to care for our residents on a daily basis is exactly why we do it day in day out.,Recommends working here: Yes,Rates salary as: Average,3 years ago,"New South Wales, Australia",5.0,5.0,5.0,5.0,5.0,5.0,5.0
‘One of the best cultures I’ve encountered in a company - I miss my Bupa family.’,Learning And Development Consultant,"Amazing culture. I was fortunate to have had some really brilliant managers and colleagues. It can be hard work but the perks and team fun are worth it. Bupa really cared for it’s people as well as it’s customers as well - skin checks, massages, Christmas hampers, heavily discounted insurance - all amazing.",There is a very long tenure here so opportunities for career progression were limited in the city I was based in.,Recommends working here: Yes,Rates salary as: Average,2 years ago,"Adelaide, South Australia, Australia",4.0,4.0,5.0,4.0,5.0,5.0,5.0
‘Bupa truely promotes a work life balance.’,Manager,"True to company values, promotes and encourages healthy and happy lives, and gives you opportunity to grow with the business.",My department needs an overhaul for procedures but has allowed and encouraged me to do this which is fantastic.,Recommends working here: Yes,Rates salary as: Average,2 years ago,"Melbourne, Victoria, Australia",5.0,5.0,5.0,5.0,5.0,5.0,5.0
‘Great working environment to grow as an employee and work amongst decent hard working people.’,Marketing Manager,Always looking to develop you and build responsibilities. Salary reflects the work you do in the practice,"Previously a private dental practice, the challenge has been the change over to bupa and learning the way things work",Recommends working here: Yes,Rates salary as: High,4 years ago,"Five Dock, New South Wales, Australia",5.0,4.0,5.0,5.0,4.0,5.0,5.0
‘Caring company with good perks.’,Sales And Growth Consultant,Very good perks and senior management that very caring of staff.  Great opportunities for career development if you are happy to work in head office,Pay isn't great and sales targets are high.,Recommends working here: Yes,Rates salary as: Average,2 years ago,"VIC, Australia",3.0,5.0,3.0,5.0,5.0,5.0,4.0
‘Poor work life with Bupa..’,Customer Service,Generally office hours worked...,"No staff to service customers, high KPI's basically you will be a sales person pushing  expensive products that people don't need... Very poor bonus scheme.",Recommends working here: No,Rates salary as: Average,3 years ago,,2.0,1.0,1.0,1.0,2.0,1.0,1.0
"‘Fun, interesting, rewarding.’",Financial Management Consultant - IT,"Dynamic environment, good people, nice benefits, positive philosophy.","It was changing very quickly, which is one of the things I liked about it, but theoretically challenging. There was a huge amount of complex work in the pipeline, moist - if not all - would now be completed.",Recommends working here: Yes,Rates salary as: Average,4 years ago,"Melbourne, Victoria, Australia",3.0,4.0,4.0,4.0,4.0,5.0,4.0
‘I would thoroughly recommend the company as a whole to work for. Amazing opportunities and training was outstanding.’,Sales And Service Consultant,The work/  life balance. Always felt like an individual and not just a number. Really enjoyed my time with the company. Great incentives and KPI targets were very fair.,A somewhat negative manager at the end of my time with the company was my biggest challenge. Did not feel supported by the individual store management team at the time of leaving the company.,Recommends working here: Yes,Rates salary as: Average,4 years ago,"Charlestown, New South Wales, Australia",4.0,5.0,4.0,3.0,5.0,4.0,5.0
"‘It was a good company to work for, but the work life made life miserable.’",Health Support Consultant,The benefits and discounts were amazing and the support network was pretty good too. The pay was alright.,The work/ life balance was horrendous and there was no wiggle room with shifts. The parking in the area was terribly expensive too.,Recommends working here: Yes,Rates salary as: Average,4 years ago,"Melbourne, Victoria, Australia",4.0,1.0,3.0,2.0,4.0,2.0,3.0
‘Happy friendly fulfilling anc challenging work environment.’,RN,"Friendly, stable,great team i am working with. opportunity for advancement and to step up in other roles. great training and education","Management lack of communication
maintaining staff due to low pay
sometimes lack of transparency",Recommends working here: Yes,Rates salary as: Low,3 years ago,Vic,5.0,4.0,5.0,4.0,5.0,4.0,5.0
‘Love working at Bupa.’,Maintenance Officer,"Love working at Bupa!
Love being apatlrt of such a fantastic company who devote so much towards the care of our wonderful residents.",There are certainly days which are challenging but the experience of being able to care for our residents on a daily basis is exactly why we do it day in day out.,Recommends working here: Yes,Rates salary as: Average,3 years ago,"New South Wales, Australia",5.0,5.0,5.0,5.0,5.0,5.0,5.0
‘One of the best cultures I’ve encountered in a company - I miss my Bupa family.’,Learning And Development Consultant,"Amazing culture. I was fortunate to have had some really brilliant managers and colleagues. It can be hard work but the perks and team fun are worth it. Bupa really cared for it’s people as well as it’s customers as well - skin checks, massages, Christmas hampers, heavily discounted insurance - all amazing.",There is a very long tenure here so opportunities for career progression were limited in the city I was based in.,Recommends working here: Yes,Rates salary as: Average,2 years ago,"Adelaide, South Australia, Australia",4.0,4.0,5.0,4.0,5.0,5.0,5.0
‘Bupa truely promotes a work life balance.’,Manager,"True to company values, promotes and encourages healthy and happy lives, and gives you opportunity to grow with the business.",My department needs an overhaul for procedures but has allowed and encouraged me to do this which is fantastic.,Recommends working here: Yes,Rates salary as: Average,2 years ago,"Melbourne, Victoria, Australia",5.0,5.0,5.0,5.0,5.0,5.0,5.0
‘Great working environment to grow as an employee and work amongst decent hard working people.’,Marketing Manager,Always looking to develop you and build responsibilities. Salary reflects the work you do in the practice,"Previously a private dental practice, the challenge has been the change over to bupa and learning the way things work",Recommends working here: Yes,Rates salary as: High,4 years ago,"Five Dock, New South Wales, Australia",5.0,4.0,5.0,5.0,4.0,5.0,5.0
‘Caring company with good perks.’,Sales And Growth Consultant,Very good perks and senior management that very caring of staff.  Great opportunities for career development if you are happy to work in head office,Pay isn't great and sales targets are high.,Recommends working here: Yes,Rates salary as: Average,2 years ago,"VIC, Australia",3.0,5.0,3.0,5.0,5.0,5.0,4.0
‘Poor work life with Bupa..’,Customer Service,Generally office hours worked...,"No staff to service customers, high KPI's basically you will be a sales person pushing  expensive products that people don't need... Very poor bonus scheme.",Recommends working here: No,Rates salary as: Average,3 years ago,,2.0,1.0,1.0,1.0,2.0,1.0,1.0
"‘Fun, interesting, rewarding.’",Financial Management Consultant - IT,"Dynamic environment, good people, nice benefits, positive philosophy.","It was changing very quickly, which is one of the things I liked about it, but theoretically challenging. There was a huge amount of complex work in the pipeline, moist - if not all - would now be completed.",Recommends working here: Yes,Rates salary as: Average,4 years ago,"Melbourne, Victoria, Australia",3.0,4.0,4.0,4.0,4.0,5.0,4.0
‘I would thoroughly recommend the company as a whole to work for. Amazing opportunities and training was outstanding.’,Sales And Service Consultant,The work/  life balance. Always felt like an individual and not just a number. Really enjoyed my time with the company. Great incentives and KPI targets were very fair.,A somewhat negative manager at the end of my time with the company was my biggest challenge. Did not feel supported by the individual store management team at the time of leaving the company.,Recommends working here: Yes,Rates salary as: Average,4 years ago,"Charlestown, New South Wales, Australia",4.0,5.0,4.0,3.0,5.0,4.0,5.0
"‘It was a good company to work for, but the work life made life miserable.’",Health Support Consultant,The benefits and discounts were amazing and the support network was pretty good too. The pay was alright.,The work/ life balance was horrendous and there was no wiggle room with shifts. The parking in the area was terribly expensive too.,Recommends working here: Yes,Rates salary as: Average,4 years ago,"Melbourne, Victoria, Australia",4.0,1.0,3.0,2.0,4.0,2.0,3.0
‘Happy friendly fulfilling anc challenging work environment.’,RN,"Friendly, stable,great team i am working with. opportunity for advancement and to step up in other roles. great training and education","Management lack of communication
maintaining staff due to low pay
sometimes lack of transparency",Recommends working here: Yes,Rates salary as: Low,3 years ago,Vic,5.0,4.0,5.0,4.0,5.0,4.0,5.0
‘Love working at Bupa.’,Maintenance Officer,"Love working at Bupa!
Love being apatlrt of such a fantastic company who devote so much towards the care of our wonderful residents.",There are certainly days which are challenging but the experience of being able to care for our residents on a daily basis is exactly why we do it day in day out.,Recommends working here: Yes,Rates salary as: Average,3 years ago,"New South Wales, Australia",5.0,5.0,5.0,5.0,5.0,5.0,5.0
‘One of the best cultures I’ve encountered in a company - I miss my Bupa family.’,Learning And Development Consultant,"Amazing culture. I was fortunate to have had some really brilliant managers and colleagues. It can be hard work but the perks and team fun are worth it. Bupa really cared for it’s people as well as it’s customers as well - skin checks, massages, Christmas hampers, heavily discounted insurance - all amazing.",There is a very long tenure here so opportunities for career progression were limited in the city I was based in.,Recommends working here: Yes,Rates salary as: Average,2 years ago,"Adelaide, South Australia, Australia",4.0,4.0,5.0,4.0,5.0,5.0,5.0
‘Bupa truely promotes a work life balance.’,Manager,"True to company values, promotes and encourages healthy and happy lives, and gives you opportunity to grow with the business.",My department needs an overhaul for procedures but has allowed and encouraged me to do this which is fantastic.,Recommends working here: Yes,Rates salary as: Average,2 years ago,"Melbourne, Victoria, Australia",5.0,5.0,5.0,5.0,5.0,5.0,5.0
‘Great working environment to grow as an employee and work amongst decent hard working people.’,Marketing Manager,Always looking to develop you and build responsibilities. Salary reflects the work you do in the practice,"Previously a private dental practice, the challenge has been the change over to bupa and learning the way things work",Recommends working here: Yes,Rates salary as: High,4 years ago,"Five Dock, New South Wales, Australia",5.0,4.0,5.0,5.0,4.0,5.0,5.0
‘Caring company with good perks.’,Sales And Growth Consultant,Very good perks and senior management that very caring of staff.  Great opportunities for career development if you are happy to work in head office,Pay isn't great and sales targets are high.,Recommends working here: Yes,Rates salary as: Average,2 years ago,"VIC, Australia",3.0,5.0,3.0,5.0,5.0,5.0,4.0
‘Poor work life with Bupa..’,Customer Service,Generally office hours worked...,"No staff to service customers, high KPI's basically you will be a sales person pushing  expensive products that people don't need... Very poor bonus scheme.",Recommends working here: No,Rates salary as: Average,3 years ago,,2.0,1.0,1.0,1.0,2.0,1.0,1.0
"‘Fun, interesting, rewarding.’",Financial Management Consultant - IT,"Dynamic environment, good people, nice benefits, positive philosophy.","It was changing very quickly, which is one of the things I liked about it, but theoretically challenging. There was a huge amount of complex work in the pipeline, moist - if not all - would now be completed.",Recommends working here: Yes,Rates salary as: Average,4 years ago,"Melbourne, Victoria, Australia",3.0,4.0,4.0,4.0,4.0,5.0,4.0
‘I would thoroughly recommend the company as a whole to work for. Amazing opportunities and training was outstanding.’,Sales And Service Consultant,The work/  life balance. Always felt like an individual and not just a number. Really enjoyed my time with the company. Great incentives and KPI targets were very fair.,A somewhat negative manager at the end of my time with the company was my biggest challenge. Did not feel supported by the individual store management team at the time of leaving the company.,Recommends working here: Yes,Rates salary as: Average,4 years ago,"Charlestown, New South Wales, Australia",4.0,5.0,4.0,3.0,5.0,4.0,5.0
"‘It was a good company to work for, but the work life made life miserable.’",Health Support Consultant,The benefits and discounts were amazing and the support network was pretty good too. The pay was alright.,The work/ life balance was horrendous and there was no wiggle room with shifts. The parking in the area was terribly expensive too.,Recommends working here: Yes,Rates salary as: Average,4 years ago,"Melbourne, Victoria, Australia",4.0,1.0,3.0,2.0,4.0,2.0,3.0
‘Happy friendly fulfilling anc challenging work environment.’,RN,"Friendly, stable,great team i am working with. opportunity for advancement and to step up in other roles. great training and education","Management lack of communication
maintaining staff due to low pay
sometimes lack of transparency",Recommends working here: Yes,Rates salary as: Low,3 years ago,Vic,5.0,4.0,5.0,4.0,5.0,4.0,5.0
‘Love working at Bupa.’,Maintenance Officer,"Love working at Bupa!
Love being apatlrt of such a fantastic company who devote so much towards the care of our wonderful residents.",There are certainly days which are challenging but the experience of being able to care for our residents on a daily basis is exactly why we do it day in day out.,Recommends working here: Yes,Rates salary as: Average,3 years ago,"New South Wales, Australia",5.0,5.0,5.0,5.0,5.0,5.0,5.0
‘One of the best cultures I’ve encountered in a company - I miss my Bupa family.’,Learning And Development Consultant,"Amazing culture. I was fortunate to have had some really brilliant managers and colleagues. It can be hard work but the perks and team fun are worth it. Bupa really cared for it’s people as well as it’s customers as well - skin checks, massages, Christmas hampers, heavily discounted insurance - all amazing.",There is a very long tenure here so opportunities for career progression were limited in the city I was based in.,Recommends working here: Yes,Rates salary as: Average,2 years ago,"Adelaide, South Australia, Australia",4.0,4.0,5.0,4.0,5.0,5.0,5.0
‘Bupa truely promotes a work life balance.’,Manager,"True to company values, promotes and encourages healthy and happy lives, and gives you opportunity to grow with the business.",My department needs an overhaul for procedures but has allowed and encouraged me to do this which is fantastic.,Recommends working here: Yes,Rates salary as: Average,2 years ago,"Melbourne, Victoria, Australia",5.0,5.0,5.0,5.0,5.0,5.0,5.0
‘Great working environment to grow as an employee and work amongst decent hard working people.’,Marketing Manager,Always looking to develop you and build responsibilities. Salary reflects the work you do in the practice,"Previously a private dental practice, the challenge has been the change over to bupa and learning the way things work",Recommends working here: Yes,Rates salary as: High,4 years ago,"Five Dock, New South Wales, Australia",5.0,4.0,5.0,5.0,4.0,5.0,5.0
‘Caring company with good perks.’,Sales And Growth Consultant,Very good perks and senior management that very caring of staff.  Great opportunities for career development if you are happy to work in head office,Pay isn't great and sales targets are high.,Recommends working here: Yes,Rates salary as: Average,2 years ago,"VIC, Australia",3.0,5.0,3.0,5.0,5.0,5.0,4.0
