title,job_title,pros,cons,recommendation,salary,date,location,career_opportunity_rating,work_life_balance_rating,work_env_rating,management_rating,benefits_rating,diversity_rating,overall_rating
"‘Started out a great company & people, has changed markedly in last few years.’",Executive,"Large company therefore lots of areas to work within and broaden your knowledge and experience of business processes, industries and lines.
Lots of availability for online working.","Too many statistics required & collected on individual employee, management & executive performance, distracts from doing the job
Hard for ideas to be heard.",Recommends working here: No,Rates salary as: Low,4 years ago,"Sydney, New South Wales, Australia",3.0,2.0,2.0,3.0,2.0,4.0,3.0
‘Will the IBM of the past survive into the future.’,Senior Business Analyst,Great Training. When the business is doing well great career and development opportunities.,"The business is in transition at present. IBM has a clear vision of where it wants to be in the future, but will clients buy those services ? Diversity is out of control - minority groups have complete control of this agenda.",Recommends working here: No,Rates salary as: Average,2 years ago,"Melbourne, Victoria, Australia",3.0,4.0,4.0,4.0,3.0,2.0,5.0
‘Was a good company to work for 10 years ago but that has seriously degraded to a point now where staff moral is extremely low and the threat of redundancy is almost certain.’,Procurement Specialist,"They offer the ability to work from home, but this is completely dependant on your local manager.","Even though the company promote the Agile office and ability to work from home, management is extremely resistant to it.  

The company promotes work life balance on a regular basis but the reality is they expect you to work 50 to 60 hours a week and expect you to be available at all times.  If you resist these work pressures you are ostracised very quickly.  

In Melbourne there have been 5 years of man redundancy rounds and the numbers of staff in IBM Melbourne today is a fraction of what worked for the company 5 years ago.  The company use to occupy most of a 29 story building and now the company only occupies 5 floors and have sold the building to a Chinese company.


",Recommends working here: No,Rates salary as: Low,1 year ago,"Melbourne VIC, Australia",2.0,3.0,1.0,1.0,1.0,3.0,2.0
‘Wonderful learning and personal growth opportunities that has provided me with expert status’,Senior IT Architect,"Variety of work, technical depth and breadth, intelligent people to learn from and mentoring. Opportunity to travel","Management decisions on company direction, process driven with no benefits at times and in recent times inability to sell the value of organisation",Recommends working here: Yes,Rates salary as: Average,4 years ago,,3.0,5.0,3.0,2.0,4.0,5.0,4.0
‘Learnt a lot but burnt out’,GBS,Great intellectual property and very smart people in pockets.,Anti-intellectual chauvinism institutionalised within a professional managerial class.  Innovation happens in spite rather than because of the organisation.,Recommends working here: No,Rates salary as: Average,2 years ago,Australia,4.0,2.0,2.0,2.0,1.0,4.0,3.0
‘Where did those 30 years go....’,Operations Manager,"Working with motivated people, work / life balance was encouraged and peoples views and opinions respected.","Though I enjoyed my time, as the technologies evolved, eventually catches up with you and on occasion you wish that there just was not so much change so rapdily",Recommends working here: Yes,Rates salary as: High,4 years ago,"Melbourne, Victoria, Australia",5.0,5.0,5.0,4.0,4.0,5.0,5.0
‘It is the best organisation ever i have worked.’,Raised Floor Planner,IBM is very multicultural organisation. Therefore every one is treated equally. There is no racism what so ever in this organisation.  There is plenty of opportunity to take your own initiative and work.,"Yes, you are given a task and you have the ability to perform to your best of ability. The management do not involve. You have your own responsibility to complete the job best of your ability. Management do not sit above and direct how to do.",Recommends working here: Yes,Rates salary as: Average,4 years ago,"North Ryde, New South Wales, Australia",5.0,5.0,5.0,5.0,4.0,5.0,5.0
‘Good on resume but poor workplace environment’,Analyst,"Depending on your team/account, you may be fortunate enough to work with a great group of people or have an executive team who tries makes the workplace a better environment to work at",With big company comes heaps of redundancies and therefore the insecurity of your role. This unfortunately leaves the remaining employees larger workloads and also results in a poor workplace environment and low morale.,Recommends working here: Yes,Rates salary as: Low,4 years ago,"Sydney, New South Wales, Australia",2.0,4.0,3.0,2.0,1.0,4.0,3.0
‘A very well established proffessional environment.’,Project Manager,"Great opportunity to learn every moment.
Great calibers that you'll for sure learn a lot from them.
Market technology leaders.",Market competition challenges in terms of pricing and sometimes lack of resources to deliver projects.,Recommends working here: Yes,Rates salary as: Average,4 years ago,,5.0,3.0,4.0,4.0,4.0,5.0,4.0
‘Good in general.’,Associate Partner - IBM Global Business Services,"Possibility to work with very smart people and some very interesting projects if you are able to join the right organization. Otherwise, you end up in BAU type of projects","Silo mentality across the organization, no real incentive for business units to collaborate, especially IBM Global Business Services (GBS). Management style in some functions and business units is very old fashioned. You find some very arrogant people in key positions, which makes very difficult collaboration and communication.",Recommends working here: No,Rates salary as: Average,2 years ago,"Melbourne, Victoria, Australia",3.0,2.0,2.0,1.0,3.0,4.0,3.0
"‘Started out a great company & people, has changed markedly in last few years.’",Executive,"Large company therefore lots of areas to work within and broaden your knowledge and experience of business processes, industries and lines.
Lots of availability for online working.","Too many statistics required & collected on individual employee, management & executive performance, distracts from doing the job
Hard for ideas to be heard.",Recommends working here: No,Rates salary as: Low,4 years ago,"Sydney, New South Wales, Australia",3.0,2.0,2.0,3.0,2.0,4.0,3.0
‘Will the IBM of the past survive into the future.’,Senior Business Analyst,Great Training. When the business is doing well great career and development opportunities.,"The business is in transition at present. IBM has a clear vision of where it wants to be in the future, but will clients buy those services ? Diversity is out of control - minority groups have complete control of this agenda.",Recommends working here: No,Rates salary as: Average,2 years ago,"Melbourne, Victoria, Australia",3.0,4.0,4.0,4.0,3.0,2.0,5.0
‘Was a good company to work for 10 years ago but that has seriously degraded to a point now where staff moral is extremely low and the threat of redundancy is almost certain.’,Procurement Specialist,"They offer the ability to work from home, but this is completely dependant on your local manager.","Even though the company promote the Agile office and ability to work from home, management is extremely resistant to it.  

The company promotes work life balance on a regular basis but the reality is they expect you to work 50 to 60 hours a week and expect you to be available at all times.  If you resist these work pressures you are ostracised very quickly.  

In Melbourne there have been 5 years of man redundancy rounds and the numbers of staff in IBM Melbourne today is a fraction of what worked for the company 5 years ago.  The company use to occupy most of a 29 story building and now the company only occupies 5 floors and have sold the building to a Chinese company.


",Recommends working here: No,Rates salary as: Low,1 year ago,"Melbourne VIC, Australia",2.0,3.0,1.0,1.0,1.0,3.0,2.0
‘Wonderful learning and personal growth opportunities that has provided me with expert status’,Senior IT Architect,"Variety of work, technical depth and breadth, intelligent people to learn from and mentoring. Opportunity to travel","Management decisions on company direction, process driven with no benefits at times and in recent times inability to sell the value of organisation",Recommends working here: Yes,Rates salary as: Average,4 years ago,,3.0,5.0,3.0,2.0,4.0,5.0,4.0
‘Learnt a lot but burnt out’,GBS,Great intellectual property and very smart people in pockets.,Anti-intellectual chauvinism institutionalised within a professional managerial class.  Innovation happens in spite rather than because of the organisation.,Recommends working here: No,Rates salary as: Average,2 years ago,Australia,4.0,2.0,2.0,2.0,1.0,4.0,3.0
‘Where did those 30 years go....’,Operations Manager,"Working with motivated people, work / life balance was encouraged and peoples views and opinions respected.","Though I enjoyed my time, as the technologies evolved, eventually catches up with you and on occasion you wish that there just was not so much change so rapdily",Recommends working here: Yes,Rates salary as: High,4 years ago,"Melbourne, Victoria, Australia",5.0,5.0,5.0,4.0,4.0,5.0,5.0
‘It is the best organisation ever i have worked.’,Raised Floor Planner,IBM is very multicultural organisation. Therefore every one is treated equally. There is no racism what so ever in this organisation.  There is plenty of opportunity to take your own initiative and work.,"Yes, you are given a task and you have the ability to perform to your best of ability. The management do not involve. You have your own responsibility to complete the job best of your ability. Management do not sit above and direct how to do.",Recommends working here: Yes,Rates salary as: Average,4 years ago,"North Ryde, New South Wales, Australia",5.0,5.0,5.0,5.0,4.0,5.0,5.0
‘Good on resume but poor workplace environment’,Analyst,"Depending on your team/account, you may be fortunate enough to work with a great group of people or have an executive team who tries makes the workplace a better environment to work at",With big company comes heaps of redundancies and therefore the insecurity of your role. This unfortunately leaves the remaining employees larger workloads and also results in a poor workplace environment and low morale.,Recommends working here: Yes,Rates salary as: Low,4 years ago,"Sydney, New South Wales, Australia",2.0,4.0,3.0,2.0,1.0,4.0,3.0
‘A very well established proffessional environment.’,Project Manager,"Great opportunity to learn every moment.
Great calibers that you'll for sure learn a lot from them.
Market technology leaders.",Market competition challenges in terms of pricing and sometimes lack of resources to deliver projects.,Recommends working here: Yes,Rates salary as: Average,4 years ago,,5.0,3.0,4.0,4.0,4.0,5.0,4.0
‘Good in general.’,Associate Partner - IBM Global Business Services,"Possibility to work with very smart people and some very interesting projects if you are able to join the right organization. Otherwise, you end up in BAU type of projects","Silo mentality across the organization, no real incentive for business units to collaborate, especially IBM Global Business Services (GBS). Management style in some functions and business units is very old fashioned. You find some very arrogant people in key positions, which makes very difficult collaboration and communication.",Recommends working here: No,Rates salary as: Average,2 years ago,"Melbourne, Victoria, Australia",3.0,2.0,2.0,1.0,3.0,4.0,3.0
"‘Started out a great company & people, has changed markedly in last few years.’",Executive,"Large company therefore lots of areas to work within and broaden your knowledge and experience of business processes, industries and lines.
Lots of availability for online working.","Too many statistics required & collected on individual employee, management & executive performance, distracts from doing the job
Hard for ideas to be heard.",Recommends working here: No,Rates salary as: Low,4 years ago,"Sydney, New South Wales, Australia",3.0,2.0,2.0,3.0,2.0,4.0,3.0
‘Will the IBM of the past survive into the future.’,Senior Business Analyst,Great Training. When the business is doing well great career and development opportunities.,"The business is in transition at present. IBM has a clear vision of where it wants to be in the future, but will clients buy those services ? Diversity is out of control - minority groups have complete control of this agenda.",Recommends working here: No,Rates salary as: Average,2 years ago,"Melbourne, Victoria, Australia",3.0,4.0,4.0,4.0,3.0,2.0,5.0
‘Was a good company to work for 10 years ago but that has seriously degraded to a point now where staff moral is extremely low and the threat of redundancy is almost certain.’,Procurement Specialist,"They offer the ability to work from home, but this is completely dependant on your local manager.","Even though the company promote the Agile office and ability to work from home, management is extremely resistant to it.  

The company promotes work life balance on a regular basis but the reality is they expect you to work 50 to 60 hours a week and expect you to be available at all times.  If you resist these work pressures you are ostracised very quickly.  

In Melbourne there have been 5 years of man redundancy rounds and the numbers of staff in IBM Melbourne today is a fraction of what worked for the company 5 years ago.  The company use to occupy most of a 29 story building and now the company only occupies 5 floors and have sold the building to a Chinese company.


",Recommends working here: No,Rates salary as: Low,1 year ago,"Melbourne VIC, Australia",2.0,3.0,1.0,1.0,1.0,3.0,2.0
‘Wonderful learning and personal growth opportunities that has provided me with expert status’,Senior IT Architect,"Variety of work, technical depth and breadth, intelligent people to learn from and mentoring. Opportunity to travel","Management decisions on company direction, process driven with no benefits at times and in recent times inability to sell the value of organisation",Recommends working here: Yes,Rates salary as: Average,4 years ago,,3.0,5.0,3.0,2.0,4.0,5.0,4.0
‘Learnt a lot but burnt out’,GBS,Great intellectual property and very smart people in pockets.,Anti-intellectual chauvinism institutionalised within a professional managerial class.  Innovation happens in spite rather than because of the organisation.,Recommends working here: No,Rates salary as: Average,2 years ago,Australia,4.0,2.0,2.0,2.0,1.0,4.0,3.0
‘Where did those 30 years go....’,Operations Manager,"Working with motivated people, work / life balance was encouraged and peoples views and opinions respected.","Though I enjoyed my time, as the technologies evolved, eventually catches up with you and on occasion you wish that there just was not so much change so rapdily",Recommends working here: Yes,Rates salary as: High,4 years ago,"Melbourne, Victoria, Australia",5.0,5.0,5.0,4.0,4.0,5.0,5.0
‘It is the best organisation ever i have worked.’,Raised Floor Planner,IBM is very multicultural organisation. Therefore every one is treated equally. There is no racism what so ever in this organisation.  There is plenty of opportunity to take your own initiative and work.,"Yes, you are given a task and you have the ability to perform to your best of ability. The management do not involve. You have your own responsibility to complete the job best of your ability. Management do not sit above and direct how to do.",Recommends working here: Yes,Rates salary as: Average,4 years ago,"North Ryde, New South Wales, Australia",5.0,5.0,5.0,5.0,4.0,5.0,5.0
‘Good on resume but poor workplace environment’,Analyst,"Depending on your team/account, you may be fortunate enough to work with a great group of people or have an executive team who tries makes the workplace a better environment to work at",With big company comes heaps of redundancies and therefore the insecurity of your role. This unfortunately leaves the remaining employees larger workloads and also results in a poor workplace environment and low morale.,Recommends working here: Yes,Rates salary as: Low,4 years ago,"Sydney, New South Wales, Australia",2.0,4.0,3.0,2.0,1.0,4.0,3.0
‘A very well established proffessional environment.’,Project Manager,"Great opportunity to learn every moment.
Great calibers that you'll for sure learn a lot from them.
Market technology leaders.",Market competition challenges in terms of pricing and sometimes lack of resources to deliver projects.,Recommends working here: Yes,Rates salary as: Average,4 years ago,,5.0,3.0,4.0,4.0,4.0,5.0,4.0
‘Good in general.’,Associate Partner - IBM Global Business Services,"Possibility to work with very smart people and some very interesting projects if you are able to join the right organization. Otherwise, you end up in BAU type of projects","Silo mentality across the organization, no real incentive for business units to collaborate, especially IBM Global Business Services (GBS). Management style in some functions and business units is very old fashioned. You find some very arrogant people in key positions, which makes very difficult collaboration and communication.",Recommends working here: No,Rates salary as: Average,2 years ago,"Melbourne, Victoria, Australia",3.0,2.0,2.0,1.0,3.0,4.0,3.0
"‘Started out a great company & people, has changed markedly in last few years.’",Executive,"Large company therefore lots of areas to work within and broaden your knowledge and experience of business processes, industries and lines.
Lots of availability for online working.","Too many statistics required & collected on individual employee, management & executive performance, distracts from doing the job
Hard for ideas to be heard.",Recommends working here: No,Rates salary as: Low,4 years ago,"Sydney, New South Wales, Australia",3.0,2.0,2.0,3.0,2.0,4.0,3.0
‘Will the IBM of the past survive into the future.’,Senior Business Analyst,Great Training. When the business is doing well great career and development opportunities.,"The business is in transition at present. IBM has a clear vision of where it wants to be in the future, but will clients buy those services ? Diversity is out of control - minority groups have complete control of this agenda.",Recommends working here: No,Rates salary as: Average,2 years ago,"Melbourne, Victoria, Australia",3.0,4.0,4.0,4.0,3.0,2.0,5.0
‘Was a good company to work for 10 years ago but that has seriously degraded to a point now where staff moral is extremely low and the threat of redundancy is almost certain.’,Procurement Specialist,"They offer the ability to work from home, but this is completely dependant on your local manager.","Even though the company promote the Agile office and ability to work from home, management is extremely resistant to it.  

The company promotes work life balance on a regular basis but the reality is they expect you to work 50 to 60 hours a week and expect you to be available at all times.  If you resist these work pressures you are ostracised very quickly.  

In Melbourne there have been 5 years of man redundancy rounds and the numbers of staff in IBM Melbourne today is a fraction of what worked for the company 5 years ago.  The company use to occupy most of a 29 story building and now the company only occupies 5 floors and have sold the building to a Chinese company.


",Recommends working here: No,Rates salary as: Low,1 year ago,"Melbourne VIC, Australia",2.0,3.0,1.0,1.0,1.0,3.0,2.0
‘Wonderful learning and personal growth opportunities that has provided me with expert status’,Senior IT Architect,"Variety of work, technical depth and breadth, intelligent people to learn from and mentoring. Opportunity to travel","Management decisions on company direction, process driven with no benefits at times and in recent times inability to sell the value of organisation",Recommends working here: Yes,Rates salary as: Average,4 years ago,,3.0,5.0,3.0,2.0,4.0,5.0,4.0
‘Learnt a lot but burnt out’,GBS,Great intellectual property and very smart people in pockets.,Anti-intellectual chauvinism institutionalised within a professional managerial class.  Innovation happens in spite rather than because of the organisation.,Recommends working here: No,Rates salary as: Average,2 years ago,Australia,4.0,2.0,2.0,2.0,1.0,4.0,3.0
‘Where did those 30 years go....’,Operations Manager,"Working with motivated people, work / life balance was encouraged and peoples views and opinions respected.","Though I enjoyed my time, as the technologies evolved, eventually catches up with you and on occasion you wish that there just was not so much change so rapdily",Recommends working here: Yes,Rates salary as: High,4 years ago,"Melbourne, Victoria, Australia",5.0,5.0,5.0,4.0,4.0,5.0,5.0
‘It is the best organisation ever i have worked.’,Raised Floor Planner,IBM is very multicultural organisation. Therefore every one is treated equally. There is no racism what so ever in this organisation.  There is plenty of opportunity to take your own initiative and work.,"Yes, you are given a task and you have the ability to perform to your best of ability. The management do not involve. You have your own responsibility to complete the job best of your ability. Management do not sit above and direct how to do.",Recommends working here: Yes,Rates salary as: Average,4 years ago,"North Ryde, New South Wales, Australia",5.0,5.0,5.0,5.0,4.0,5.0,5.0
‘Good on resume but poor workplace environment’,Analyst,"Depending on your team/account, you may be fortunate enough to work with a great group of people or have an executive team who tries makes the workplace a better environment to work at",With big company comes heaps of redundancies and therefore the insecurity of your role. This unfortunately leaves the remaining employees larger workloads and also results in a poor workplace environment and low morale.,Recommends working here: Yes,Rates salary as: Low,4 years ago,"Sydney, New South Wales, Australia",2.0,4.0,3.0,2.0,1.0,4.0,3.0
‘A very well established proffessional environment.’,Project Manager,"Great opportunity to learn every moment.
Great calibers that you'll for sure learn a lot from them.
Market technology leaders.",Market competition challenges in terms of pricing and sometimes lack of resources to deliver projects.,Recommends working here: Yes,Rates salary as: Average,4 years ago,,5.0,3.0,4.0,4.0,4.0,5.0,4.0
‘Good in general.’,Associate Partner - IBM Global Business Services,"Possibility to work with very smart people and some very interesting projects if you are able to join the right organization. Otherwise, you end up in BAU type of projects","Silo mentality across the organization, no real incentive for business units to collaborate, especially IBM Global Business Services (GBS). Management style in some functions and business units is very old fashioned. You find some very arrogant people in key positions, which makes very difficult collaboration and communication.",Recommends working here: No,Rates salary as: Average,2 years ago,"Melbourne, Victoria, Australia",3.0,2.0,2.0,1.0,3.0,4.0,3.0
"‘Started out a great company & people, has changed markedly in last few years.’",Executive,"Large company therefore lots of areas to work within and broaden your knowledge and experience of business processes, industries and lines.
Lots of availability for online working.","Too many statistics required & collected on individual employee, management & executive performance, distracts from doing the job
Hard for ideas to be heard.",Recommends working here: No,Rates salary as: Low,4 years ago,"Sydney, New South Wales, Australia",3.0,2.0,2.0,3.0,2.0,4.0,3.0
‘Will the IBM of the past survive into the future.’,Senior Business Analyst,Great Training. When the business is doing well great career and development opportunities.,"The business is in transition at present. IBM has a clear vision of where it wants to be in the future, but will clients buy those services ? Diversity is out of control - minority groups have complete control of this agenda.",Recommends working here: No,Rates salary as: Average,2 years ago,"Melbourne, Victoria, Australia",3.0,4.0,4.0,4.0,3.0,2.0,5.0
‘Was a good company to work for 10 years ago but that has seriously degraded to a point now where staff moral is extremely low and the threat of redundancy is almost certain.’,Procurement Specialist,"They offer the ability to work from home, but this is completely dependant on your local manager.","Even though the company promote the Agile office and ability to work from home, management is extremely resistant to it.  

The company promotes work life balance on a regular basis but the reality is they expect you to work 50 to 60 hours a week and expect you to be available at all times.  If you resist these work pressures you are ostracised very quickly.  

In Melbourne there have been 5 years of man redundancy rounds and the numbers of staff in IBM Melbourne today is a fraction of what worked for the company 5 years ago.  The company use to occupy most of a 29 story building and now the company only occupies 5 floors and have sold the building to a Chinese company.


",Recommends working here: No,Rates salary as: Low,1 year ago,"Melbourne VIC, Australia",2.0,3.0,1.0,1.0,1.0,3.0,2.0
‘Wonderful learning and personal growth opportunities that has provided me with expert status’,Senior IT Architect,"Variety of work, technical depth and breadth, intelligent people to learn from and mentoring. Opportunity to travel","Management decisions on company direction, process driven with no benefits at times and in recent times inability to sell the value of organisation",Recommends working here: Yes,Rates salary as: Average,4 years ago,,3.0,5.0,3.0,2.0,4.0,5.0,4.0
‘Learnt a lot but burnt out’,GBS,Great intellectual property and very smart people in pockets.,Anti-intellectual chauvinism institutionalised within a professional managerial class.  Innovation happens in spite rather than because of the organisation.,Recommends working here: No,Rates salary as: Average,2 years ago,Australia,4.0,2.0,2.0,2.0,1.0,4.0,3.0
‘Where did those 30 years go....’,Operations Manager,"Working with motivated people, work / life balance was encouraged and peoples views and opinions respected.","Though I enjoyed my time, as the technologies evolved, eventually catches up with you and on occasion you wish that there just was not so much change so rapdily",Recommends working here: Yes,Rates salary as: High,4 years ago,"Melbourne, Victoria, Australia",5.0,5.0,5.0,4.0,4.0,5.0,5.0
‘It is the best organisation ever i have worked.’,Raised Floor Planner,IBM is very multicultural organisation. Therefore every one is treated equally. There is no racism what so ever in this organisation.  There is plenty of opportunity to take your own initiative and work.,"Yes, you are given a task and you have the ability to perform to your best of ability. The management do not involve. You have your own responsibility to complete the job best of your ability. Management do not sit above and direct how to do.",Recommends working here: Yes,Rates salary as: Average,4 years ago,"North Ryde, New South Wales, Australia",5.0,5.0,5.0,5.0,4.0,5.0,5.0
